CustomerID,CustomerName,ContactNumber,Email,Address
CUST001,Customer1,1234567891,customer1@example.com,Address1
CUST002,Customer2,1234567892,customer2@example.com,Address2
CUST003,Customer3,1234567893,customer3@example.com,Address3
CUST004,Customer4,1234567894,customer4@example.com,Address4
CUST005,Customer5,1234567895,customer5@example.com,Address5
CUST006,Customer6,1234567896,customer6@example.com,Address6
CUST007,Customer7,1234567897,customer7@example.com,Address7
CUST008,Customer8,1234567898,customer8@example.com,Address8
CUST009,Customer9,1234567899,customer9@example.com,Address9
CUST010,Customer10,12345678910,customer10@example.com,Address10
CUST011,Customer11,12345678911,customer11@example.com,Address11
CUST012,Customer12,12345678912,customer12@example.com,Address12
CUST013,Customer13,12345678913,customer13@example.com,Address13
CUST014,Customer14,12345678914,customer14@example.com,Address14
CUST015,Customer15,12345678915,customer15@example.com,Address15
CUST016,Customer16,12345678916,customer16@example.com,Address16
CUST017,Customer17,12345678917,customer17@example.com,Address17
CUST018,Customer18,12345678918,customer18@example.com,Address18
CUST019,Customer19,12345678919,customer19@example.com,Address19
CUST020,Customer20,12345678920,customer20@example.com,Address20
CUST001,Customer1,1234567891,customer1@example.com,Address1
